alarm_id,incident_description,network_region,technology_type,severity,outage_duration,device_vendor,resolution_notes,timestamp,service_impact
ALM_000023,Fiber network in Central India experiencing high severity incident: Splice point failure. Service affected: SMS delivery delays. Device vendor: Juniper.,Central India,Fiber,high,22,Juniper,"Incident resolved by performing: Verify power supply specifications, Perform traffic engineering reroute. Root cause verified and preventive measures implemented.",2023-06-10 01:03:00,SMS delivery delays
ALM_000024,5G network in South India experiencing info severity incident: Backhaul link congestion. Service affected: SMS delivery delays. Device vendor: Juniper.,South India,5G,info,2,Juniper,"Incident resolved by performing: Perform traffic engineering reroute, Review recent configuration changes, Reboot network controller. Root cause verified and preventive measures implemented.",2023-12-12 07:25:00,SMS delivery delays
ALM_000025,Microwave network in South India experiencing low severity incident: Antenna misalignment. Service affected: Emergency call drops. Device vendor: Huawei.,South India,Microwave,low,5,Huawei,"Incident resolved by performing: Reboot network controller, Verify power supply specifications, Power cycle base station. Root cause verified and preventive measures implemented.",2023-05-14 06:42:00,Emergency call drops
ALM_000026,5G network in Central India experiencing info severity incident: Radio frequency interference in millimeter wave bands. Service affected: Data session timeouts. Device vendor: Nokia.,Central India,5G,info,9,Nokia,"Incident resolved by performing: Verify power supply specifications, Inspect optical fiber continuity, Reboot network controller. Root cause verified and preventive measures implemented.",2023-08-23 19:36:00,Data session timeouts
ALM_000027,Fiber network in East India experiencing info severity incident: Optical amplifier malfunction. Service affected: Emergency call drops. Device vendor: Juniper.,East India,Fiber,info,1,Juniper,"Incident resolved by performing: Verify power supply specifications, Check RF parameters configuration, Clear processor memory cache, Power cycle base station. Root cause verified and preventive measures implemented.",2023-05-26 05:28:00,Emergency call drops
ALM_000028,4G network in East India experiencing high severity incident: Router buffer overflow. Service affected: Roaming service unavailable. Device vendor: Juniper.,East India,4G,high,106,Juniper,"Incident resolved by performing: Clear processor memory cache, Review recent configuration changes. Root cause verified and preventive measures implemented.",2023-02-24 23:35:00,Roaming service unavailable
ALM_000029,5G network in West India experiencing critical severity incident: Radio frequency interference in millimeter wave bands. Service affected: Roaming service unavailable. Device vendor: Huawei.,West India,5G,critical,30,Huawei,"Incident resolved by performing: Clear processor memory cache, Check RF parameters configuration. Root cause verified and preventive measures implemented.",2023-09-08 08:57:00,Roaming service unavailable
ALM_000030,GSM network in North India experiencing high severity incident: Unknown cause. Service affected: Voice call failures. Device vendor: Ericsson.,North India,GSM,high,84,Ericsson,"Incident resolved by performing: Perform traffic engineering reroute, Review recent configuration changes, Check RF parameters configuration. Root cause verified and preventive measures implemented.",2023-08-15 17:45:00,Voice call failures
ALM_000031,LTE network in North India experiencing high severity incident: Unknown cause. Service affected: Video streaming buffering. Device vendor: Huawei.,North India,LTE,high,102,Huawei,"Incident resolved by performing: Verify power supply specifications, Reboot network controller, Validate antenna alignment, Clear processor memory cache. Root cause verified and preventive measures implemented.",2023-08-09 04:02:00,Video streaming buffering
ALM_000032,4G network in West India experiencing high severity incident: Spectrum interference from adjacent channels. Service affected: Roaming service unavailable. Device vendor: Ericsson.,West India,4G,high,109,Ericsson,"Incident resolved by performing: Inspect optical fiber continuity, Clear processor memory cache, Check RF parameters configuration. Root cause verified and preventive measures implemented.",2023-03-21 07:55:00,Roaming service unavailable
ALM_000033,5G network in South India experiencing low severity incident: Handover failure between cells. Service affected: Emergency call drops. Device vendor: Nokia.,South India,5G,low,12,Nokia,"Incident resolved by performing: Inspect optical fiber continuity, Power cycle base station. Root cause verified and preventive measures implemented.",2023-12-26 03:24:00,Emergency call drops
ALM_000034,LTE network in North India experiencing medium severity incident: Unknown cause. Service affected: M2M connectivity loss. Device vendor: Huawei.,North India,LTE,medium,46,Huawei,"Incident resolved by performing: Review recent configuration changes, Reboot network controller, Power cycle base station, Check spectrum analyzer readings. Root cause verified and preventive measures implemented.",2023-12-04 06:25:00,M2M connectivity loss
ALM_000035,LTE network in North India experiencing low severity incident: Unknown cause. Service affected: Roaming service unavailable. Device vendor: Juniper.,North India,LTE,low,12,Juniper,"Incident resolved by performing: Perform traffic engineering reroute, Review recent configuration changes, Verify power supply specifications. Root cause verified and preventive measures implemented.",2023-05-14 05:37:00,Roaming service unavailable
ALM_000036,LTE network in West India experiencing info severity incident: Unknown cause. Service affected: Video streaming buffering. Device vendor: Ericsson.,West India,LTE,info,30,Ericsson,"Incident resolved by performing: Validate antenna alignment, Verify power supply specifications, Reboot network controller. Root cause verified and preventive measures implemented.",2023-07-17 18:12:00,Video streaming buffering
ALM_000037,5G network in East India experiencing medium severity incident: CSP network slice misconfiguration. Service affected: M2M connectivity loss. Device vendor: Juniper.,East India,5G,medium,47,Juniper,"Incident resolved by performing: Validate antenna alignment, Clear processor memory cache, Check RF parameters configuration. Root cause verified and preventive measures implemented.",2023-11-16 10:42:00,M2M connectivity loss
ALM_000038,GSM network in Central India experiencing medium severity incident: Unknown cause. Service affected: Voice call failures. Device vendor: Juniper.,Central India,GSM,medium,30,Juniper,"Incident resolved by performing: Clear processor memory cache, Inspect optical fiber continuity, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-04-09 13:42:00,Voice call failures
ALM_000039,LTE network in West India experiencing high severity incident: Unknown cause. Service affected: IoT data transmission failures. Device vendor: Cisco.,West India,LTE,high,80,Cisco,"Incident resolved by performing: Check RF parameters configuration, Verify power supply specifications, Clear processor memory cache, Check spectrum analyzer readings. Root cause verified and preventive measures implemented.",2023-10-24 19:41:00,IoT data transmission failures
ALM_000040,LTE network in South India experiencing medium severity incident: Unknown cause. Service affected: Video streaming buffering. Device vendor: Samsung.,South India,LTE,medium,19,Samsung,"Incident resolved by performing: Power cycle base station, Perform traffic engineering reroute. Root cause verified and preventive measures implemented.",2023-12-06 20:39:00,Video streaming buffering
ALM_000041,5G network in West India experiencing info severity incident: Handover failure between cells. Service affected: M2M connectivity loss. Device vendor: Samsung.,West India,5G,info,7,Samsung,"Incident resolved by performing: Validate antenna alignment, Inspect optical fiber continuity, Check RF parameters configuration. Root cause verified and preventive measures implemented.",2023-05-06 15:39:00,M2M connectivity loss
ALM_000042,5G network in South India experiencing info severity incident: Handover failure between cells. Service affected: Voice call failures. Device vendor: Nokia.,South India,5G,info,15,Nokia,"Incident resolved by performing: Inspect optical fiber continuity, Verify power supply specifications, Check spectrum analyzer readings, Review recent configuration changes. Root cause verified and preventive measures implemented.",2023-12-02 22:00:00,Voice call failures
ALM_000043,Fiber network in East India experiencing info severity incident: Transceiver module failure. Service affected: M2M connectivity loss. Device vendor: Cisco.,East India,Fiber,info,27,Cisco,"Incident resolved by performing: Check spectrum analyzer readings, Check RF parameters configuration, Perform traffic engineering reroute, Inspect optical fiber continuity. Root cause verified and preventive measures implemented.",2023-08-26 21:33:00,M2M connectivity loss
ALM_000044,Microwave network in Central India experiencing high severity incident: Antenna misalignment. Service affected: IoT data transmission failures. Device vendor: Cisco.,Central India,Microwave,high,50,Cisco,"Incident resolved by performing: Clear processor memory cache, Inspect optical fiber continuity. Root cause verified and preventive measures implemented.",2023-05-13 07:53:00,IoT data transmission failures
ALM_000045,Fiber network in South India experiencing high severity incident: Fiber cut due to construction. Service affected: Data session timeouts. Device vendor: Nokia.,South India,Fiber,high,64,Nokia,"Incident resolved by performing: Inspect optical fiber continuity, Verify power supply specifications, Validate antenna alignment, Perform traffic engineering reroute. Root cause verified and preventive measures implemented.",2023-05-20 10:20:00,Data session timeouts
ALM_000046,GSM network in South India experiencing low severity incident: Unknown cause. Service affected: Voice call failures. Device vendor: Cisco.,South India,GSM,low,29,Cisco,"Incident resolved by performing: Validate antenna alignment, Check spectrum analyzer readings, Power cycle base station, Check RF parameters configuration. Root cause verified and preventive measures implemented.",2023-06-19 17:29:00,Voice call failures
ALM_000047,GSM network in West India experiencing medium severity incident: Unknown cause. Service affected: IoT data transmission failures. Device vendor: Nokia.,West India,GSM,medium,32,Nokia,"Incident resolved by performing: Validate antenna alignment, Reboot network controller. Root cause verified and preventive measures implemented.",2023-06-02 12:54:00,IoT data transmission failures
ALM_000048,GSM network in West India experiencing info severity incident: Unknown cause. Service affected: Voice call failures. Device vendor: Nokia.,West India,GSM,info,18,Nokia,"Incident resolved by performing: Perform traffic engineering reroute, Power cycle base station, Verify power supply specifications. Root cause verified and preventive measures implemented.",2023-12-09 21:51:00,Voice call failures
ALM_000049,GSM network in North India experiencing low severity incident: Unknown cause. Service affected: Video streaming buffering. Device vendor: Huawei.,North India,GSM,low,11,Huawei,"Incident resolved by performing: Reboot network controller, Perform traffic engineering reroute, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-11-26 13:08:00,Video streaming buffering
ALM_000050,5G network in North India experiencing info severity incident: Handover failure between cells. Service affected: Roaming service unavailable. Device vendor: Samsung.,North India,5G,info,2,Samsung,"Incident resolved by performing: Verify power supply specifications, Power cycle base station. Root cause verified and preventive measures implemented.",2023-05-23 13:16:00,Roaming service unavailable
ALM_000051,5G network in South India experiencing high severity incident: Backhaul link congestion. Service affected: SMS delivery delays. Device vendor: Nokia.,South India,5G,high,75,Nokia,"Incident resolved by performing: Inspect optical fiber continuity, Check spectrum analyzer readings, Clear processor memory cache, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-01-16 07:12:00,SMS delivery delays
ALM_000052,Fiber network in North India experiencing medium severity incident: Optical amplifier malfunction. Service affected: Voice call failures. Device vendor: Nokia.,North India,Fiber,medium,11,Nokia,"Incident resolved by performing: Perform traffic engineering reroute, Validate antenna alignment, Review recent configuration changes. Root cause verified and preventive measures implemented.",2023-07-08 05:38:00,Voice call failures
ALM_000053,Microwave network in South India experiencing medium severity incident: Modulation quality degradation. Service affected: SMS delivery delays. Device vendor: Ericsson.,South India,Microwave,medium,59,Ericsson,"Incident resolved by performing: Power cycle base station, Reboot network controller, Validate antenna alignment, Review recent configuration changes. Root cause verified and preventive measures implemented.",2023-04-12 02:37:00,SMS delivery delays
ALM_000054,Microwave network in North India experiencing low severity incident: Antenna misalignment. Service affected: M2M connectivity loss. Device vendor: Cisco.,North India,Microwave,low,4,Cisco,"Incident resolved by performing: Check spectrum analyzer readings, Check RF parameters configuration, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-07-09 02:32:00,M2M connectivity loss
ALM_000055,Microwave network in Central India experiencing low severity incident: Antenna misalignment. Service affected: M2M connectivity loss. Device vendor: Juniper.,Central India,Microwave,low,15,Juniper,"Incident resolved by performing: Perform traffic engineering reroute, Clear processor memory cache, Reboot network controller, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-04-01 23:33:00,M2M connectivity loss
ALM_000056,GSM network in West India experiencing info severity incident: Unknown cause. Service affected: M2M connectivity loss. Device vendor: Juniper.,West India,GSM,info,22,Juniper,"Incident resolved by performing: Power cycle base station, Check spectrum analyzer readings, Reboot network controller. Root cause verified and preventive measures implemented.",2023-05-06 02:17:00,M2M connectivity loss
ALM_000057,LTE network in East India experiencing info severity incident: Unknown cause. Service affected: Emergency call drops. Device vendor: Huawei.,East India,LTE,info,23,Huawei,"Incident resolved by performing: Power cycle base station, Review recent configuration changes, Inspect optical fiber continuity, Perform traffic engineering reroute. Root cause verified and preventive measures implemented.",2023-04-04 15:13:00,Emergency call drops
ALM_000058,GSM network in West India experiencing low severity incident: Unknown cause. Service affected: Voice call failures. Device vendor: Samsung.,West India,GSM,low,15,Samsung,"Incident resolved by performing: Clear processor memory cache, Inspect optical fiber continuity. Root cause verified and preventive measures implemented.",2023-05-04 23:26:00,Voice call failures
ALM_000059,LTE network in West India experiencing info severity incident: Unknown cause. Service affected: M2M connectivity loss. Device vendor: Juniper.,West India,LTE,info,12,Juniper,"Incident resolved by performing: Review recent configuration changes, Reboot network controller, Perform traffic engineering reroute, Check spectrum analyzer readings. Root cause verified and preventive measures implemented.",2023-07-27 22:15:00,M2M connectivity loss
ALM_000060,LTE network in North India experiencing high severity incident: Unknown cause. Service affected: SMS delivery delays. Device vendor: Samsung.,North India,LTE,high,55,Samsung,"Incident resolved by performing: Review recent configuration changes, Check RF parameters configuration, Inspect optical fiber continuity, Verify power supply specifications. Root cause verified and preventive measures implemented.",2023-08-21 08:19:00,SMS delivery delays
ALM_000061,Fiber network in Central India experiencing critical severity incident: Transceiver module failure. Service affected: Emergency call drops. Device vendor: Huawei.,Central India,Fiber,critical,79,Huawei,"Incident resolved by performing: Reboot network controller, Check RF parameters configuration. Root cause verified and preventive measures implemented.",2023-09-05 08:46:00,Emergency call drops
ALM_000062,Fiber network in East India experiencing critical severity incident: Optical signal degradation. Service affected: Emergency call drops. Device vendor: Ericsson.,East India,Fiber,critical,171,Ericsson,"Incident resolved by performing: Check RF parameters configuration, Check spectrum analyzer readings, Verify power supply specifications, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-06-04 00:45:00,Emergency call drops
ALM_000063,GSM network in West India experiencing high severity incident: Unknown cause. Service affected: Emergency call drops. Device vendor: Huawei.,West India,GSM,high,21,Huawei,"Incident resolved by performing: Verify power supply specifications, Perform traffic engineering reroute, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-01-07 18:18:00,Emergency call drops
ALM_000064,Microwave network in North India experiencing high severity incident: Modulation quality degradation. Service affected: Emergency call drops. Device vendor: Nokia.,North India,Microwave,high,118,Nokia,"Incident resolved by performing: Inspect optical fiber continuity, Verify power supply specifications. Root cause verified and preventive measures implemented.",2023-09-09 02:36:00,Emergency call drops
ALM_000065,Fiber network in South India experiencing low severity incident: Transceiver module failure. Service affected: IoT data transmission failures. Device vendor: Juniper.,South India,Fiber,low,15,Juniper,"Incident resolved by performing: Perform traffic engineering reroute, Validate antenna alignment, Clear processor memory cache. Root cause verified and preventive measures implemented.",2023-10-13 13:38:00,IoT data transmission failures
ALM_000066,Fiber network in North India experiencing high severity incident: Optical amplifier malfunction. Service affected: SMS delivery delays. Device vendor: Nokia.,North India,Fiber,high,48,Nokia,"Incident resolved by performing: Inspect optical fiber continuity, Check RF parameters configuration. Root cause verified and preventive measures implemented.",2023-10-19 19:03:00,SMS delivery delays
ALM_000067,5G network in West India experiencing info severity incident: Handover failure between cells. Service affected: Emergency call drops. Device vendor: Samsung.,West India,5G,info,16,Samsung,"Incident resolved by performing: Inspect optical fiber continuity, Clear processor memory cache. Root cause verified and preventive measures implemented.",2023-10-10 02:10:00,Emergency call drops
ALM_000068,GSM network in South India experiencing info severity incident: Unknown cause. Service affected: Video streaming buffering. Device vendor: Huawei.,South India,GSM,info,22,Huawei,"Incident resolved by performing: Verify power supply specifications, Review recent configuration changes, Inspect optical fiber continuity. Root cause verified and preventive measures implemented.",2023-12-28 09:44:00,Video streaming buffering
ALM_000069,LTE network in North India experiencing high severity incident: Unknown cause. Service affected: Emergency call drops. Device vendor: Ericsson.,North India,LTE,high,116,Ericsson,"Incident resolved by performing: Perform traffic engineering reroute, Clear processor memory cache, Check spectrum analyzer readings, Power cycle base station. Root cause verified and preventive measures implemented.",2023-11-28 04:58:00,Emergency call drops
ALM_000070,Microwave network in East India experiencing info severity incident: Power amplifier failure. Service affected: IoT data transmission failures. Device vendor: Juniper.,East India,Microwave,info,16,Juniper,"Incident resolved by performing: Perform traffic engineering reroute, Power cycle base station. Root cause verified and preventive measures implemented.",2023-08-28 22:19:00,IoT data transmission failures
ALM_000071,Fiber network in North India experiencing high severity incident: OTDR reading anomaly. Service affected: Voice call failures. Device vendor: Ericsson.,North India,Fiber,high,101,Ericsson,"Incident resolved by performing: Clear processor memory cache, Power cycle base station, Check RF parameters configuration, Inspect optical fiber continuity. Root cause verified and preventive measures implemented.",2023-08-10 23:20:00,Voice call failures
ALM_000072,LTE network in Central India experiencing low severity incident: Unknown cause. Service affected: IoT data transmission failures. Device vendor: Cisco.,Central India,LTE,low,3,Cisco,"Incident resolved by performing: Validate antenna alignment, Reboot network controller, Review recent configuration changes. Root cause verified and preventive measures implemented.",2023-09-23 20:28:00,IoT data transmission failures
ALM_000073,4G network in West India experiencing low severity incident: Router buffer overflow. Service affected: M2M connectivity loss. Device vendor: Samsung.,West India,4G,low,10,Samsung,"Incident resolved by performing: Power cycle base station, Check spectrum analyzer readings, Verify power supply specifications, Check RF parameters configuration. Root cause verified and preventive measures implemented.",2023-12-10 03:54:00,M2M connectivity loss
ALM_000074,GSM network in Central India experiencing low severity incident: Unknown cause. Service affected: Video streaming buffering. Device vendor: Cisco.,Central India,GSM,low,2,Cisco,"Incident resolved by performing: Reboot network controller, Check spectrum analyzer readings, Review recent configuration changes, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-05-10 10:07:00,Video streaming buffering
ALM_000075,Fiber network in East India experiencing low severity incident: Optical signal degradation. Service affected: Voice call failures. Device vendor: Cisco.,East India,Fiber,low,4,Cisco,"Incident resolved by performing: Perform traffic engineering reroute, Inspect optical fiber continuity, Check RF parameters configuration, Check spectrum analyzer readings. Root cause verified and preventive measures implemented.",2023-01-27 06:17:00,Voice call failures
ALM_000076,GSM network in South India experiencing low severity incident: Unknown cause. Service affected: Data session timeouts. Device vendor: Ericsson.,South India,GSM,low,4,Ericsson,"Incident resolved by performing: Clear processor memory cache, Review recent configuration changes, Perform traffic engineering reroute. Root cause verified and preventive measures implemented.",2023-10-10 00:35:00,Data session timeouts
ALM_000077,4G network in Central India experiencing low severity incident: DNS resolution timeout. Service affected: Data session timeouts. Device vendor: Nokia.,Central India,4G,low,7,Nokia,"Incident resolved by performing: Clear processor memory cache, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-08-01 15:30:00,Data session timeouts
ALM_000078,5G network in East India experiencing info severity incident: Software bug in RAN controller. Service affected: IoT data transmission failures. Device vendor: Juniper.,East India,5G,info,22,Juniper,"Incident resolved by performing: Check spectrum analyzer readings, Review recent configuration changes. Root cause verified and preventive measures implemented.",2023-06-24 16:17:00,IoT data transmission failures
ALM_000079,Fiber network in West India experiencing medium severity incident: Transceiver module failure. Service affected: Video streaming buffering. Device vendor: Cisco.,West India,Fiber,medium,60,Cisco,"Incident resolved by performing: Inspect optical fiber continuity, Validate antenna alignment, Perform traffic engineering reroute, Review recent configuration changes. Root cause verified and preventive measures implemented.",2023-09-05 11:21:00,Video streaming buffering
ALM_000080,Microwave network in West India experiencing high severity incident: Power amplifier failure. Service affected: Voice call failures. Device vendor: Cisco.,West India,Microwave,high,78,Cisco,"Incident resolved by performing: Review recent configuration changes, Reboot network controller. Root cause verified and preventive measures implemented.",2023-07-30 01:20:00,Voice call failures
ALM_000081,Fiber network in North India experiencing high severity incident: Splice point failure. Service affected: Data session timeouts. Device vendor: Samsung.,North India,Fiber,high,67,Samsung,"Incident resolved by performing: Check spectrum analyzer readings, Clear processor memory cache. Root cause verified and preventive measures implemented.",2023-02-21 14:06:00,Data session timeouts
ALM_000082,GSM network in East India experiencing info severity incident: Unknown cause. Service affected: Roaming service unavailable. Device vendor: Samsung.,East India,GSM,info,13,Samsung,"Incident resolved by performing: Check spectrum analyzer readings, Review recent configuration changes, Power cycle base station, Clear processor memory cache. Root cause verified and preventive measures implemented.",2023-06-23 19:44:00,Roaming service unavailable
ALM_000083,Microwave network in South India experiencing critical severity incident: Antenna misalignment. Service affected: SMS delivery delays. Device vendor: Samsung.,South India,Microwave,critical,141,Samsung,"Incident resolved by performing: Verify power supply specifications, Check spectrum analyzer readings, Check RF parameters configuration, Reboot network controller. Root cause verified and preventive measures implemented.",2023-02-05 07:40:00,SMS delivery delays
ALM_000084,LTE network in East India experiencing medium severity incident: Unknown cause. Service affected: Data session timeouts. Device vendor: Huawei.,East India,LTE,medium,32,Huawei,"Incident resolved by performing: Review recent configuration changes, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-06-03 00:02:00,Data session timeouts
ALM_000085,4G network in South India experiencing info severity incident: Spectrum interference from adjacent channels. Service affected: M2M connectivity loss. Device vendor: Ericsson.,South India,4G,info,28,Ericsson,"Incident resolved by performing: Inspect optical fiber continuity, Check spectrum analyzer readings, Check RF parameters configuration, Verify power supply specifications. Root cause verified and preventive measures implemented.",2023-10-17 21:50:00,M2M connectivity loss
ALM_000086,GSM network in North India experiencing medium severity incident: Unknown cause. Service affected: Data session timeouts. Device vendor: Cisco.,North India,GSM,medium,48,Cisco,"Incident resolved by performing: Check spectrum analyzer readings, Reboot network controller. Root cause verified and preventive measures implemented.",2023-08-25 20:16:00,Data session timeouts
ALM_000087,GSM network in West India experiencing high severity incident: Unknown cause. Service affected: IoT data transmission failures. Device vendor: Huawei.,West India,GSM,high,64,Huawei,"Incident resolved by performing: Inspect optical fiber continuity, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-10-28 09:40:00,IoT data transmission failures
ALM_000088,LTE network in North India experiencing low severity incident: Unknown cause. Service affected: Voice call failures. Device vendor: Samsung.,North India,LTE,low,9,Samsung,"Incident resolved by performing: Power cycle base station, Check spectrum analyzer readings, Clear processor memory cache, Validate antenna alignment. Root cause verified and preventive measures implemented.",2023-10-20 11:36:00,Voice call failures
